CoastalBlue,,Blue,,Green_1,,Green_2,,Yellow,,Red,,RedEdge,,NIR,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
423.82671480144404,0,453.4296028880866,0,504.69314079422384,0.0023529411764706687,535.0180505415162,0.0023529411764706687,581.2274368231047,0,397.1119133574007,0,398.55595667870034,0,397.1119133574007,0
427.43682310469313,0.009411764705882453,459.2057761732852,0.0117647058823529,508.3032490974729,0.0117647058823529,539.3501805054152,0.009411764705882453,590.6137184115523,0,636.101083032491,0.0023529411764706687,689.5306859205776,0.0023529411764706687,835.3790613718411,0.0023529411764706687
428.88086642599274,0.10117647058823531,459.927797833935,0.03294117647058825,509.0252707581227,0.0894117647058823,540.7942238267148,0.0658823529411765,593.5018050541516,0.03764705882352937,641.8772563176894,0.004705882352941115,692.4187725631768,0.004705882352941115,838.2671480144404,0.014117647058823568
428.88086642599274,0.1741176470588235,462.8158844765343,0.38588235294117645,509.74729241877253,0.20705882352941174,542.2382671480144,0.25411764705882356,595.667870036101,0.24705882352941166,644.043321299639,0.025882352941176467,693.1407942238267,0.018823529411764683,840.4332129963899,0.28470588235294114
428.88086642599274,0.2823529411764706,464.98194945848377,0.8094117647058824,510.46931407942236,0.35529411764705876,543.6823104693141,0.36705882352941177,597.1119133574007,0.5929411764705883,645.4873646209386,0.27764705882352947,695.3068592057762,0.14117647058823535,841.8772563176896,0.5882352941176471
428.88086642599274,0.4117647058823529,468.5920577617328,0.8188235294117647,511.913357400722,0.5341176470588236,544.4043321299639,0.5694117647058824,599.2779783393502,0.8941176470588236,646.9314079422383,0.5905882352941176,696.028880866426,0.5811764705882353,843.3212996389891,0.8470588235294118
429.60288808664257,0.6447058823529412,474.3682310469314,0.8494117647058823,514.0794223826715,0.9223529411764706,545.8483754512636,0.8258823529411765,600,0.9317647058823529,650.5415162454874,0.9552941176470588,698.1949458483755,0.9552941176470588,844.7653429602888,0.9929411764705882
431.0469314079422,0.8447058823529412,487.36462093862815,0.908235294117647,519.85559566787,0.9294117647058824,545.8483754512636,0.9341176470588235,602.8880866425993,0.9505882352941176,652.7075812274368,0.9952941176470589,700.3610108303249,1,847.6534296028881,0.9647058823529412
435.37906137184115,0.868235294117647,493.1407942238267,0.9223529411764706,524.1877256317689,0.9270588235294117,551.6245487364621,0.9247058823529412,610.1083032490974,0.9647058823529412,658.4837545126354,0.9882352941176471,706.8592057761733,0.9882352941176471,859.9277978339351,0.9458823529411765
441.1552346570397,0.9223529411764706,497.47292418772565,0.9552941176470588,526.3537906137184,0.9552941176470588,558.1227436823104,0.9670588235294117,615.1624548736462,0.9835294117647059,664.9819494584838,0.9811764705882353,710.4693140794224,0.9552941176470588,874.3682310469314,0.9317647058823529
444.76534296028876,0.9576470588235294,503.2490974729242,0.9741176470588235,529.2418772563176,0.9741176470588235,564.6209386281589,0.9670588235294117,618.0505415162454,0.9741176470588235,669.3140794223827,0.9647058823529412,711.9133574007221,0.8917647058823529,880.1444043321299,0.9317647058823529
450.54151624548734,1,506.13718411552344,0.971764705882353,532.8519855595667,0.9623529411764706,569.6750902527076,0.9647058823529412,618.7725631768953,0.8494117647058823,672.202166064982,0.9482352941176471,714.0794223826715,0.64,881.5884476534295,0.8729411764705882
452.70758122743683,0.9223529411764706,509.74729241877253,0.9835294117647059,538.6281588447653,0.971764705882353,574.7292418772563,0.9788235294117648,619.4945848375451,0.6847058823529412,676.5342960288808,0.9741176470588235,714.8014440433213,0.40470588235294125,883.7545126353791,0.7270588235294118
452.70758122743683,0.6729411764705882,513.3574007220217,1,542.2382671480144,1,579.783393501805,1.0023529411764707,620.9386281588447,0.5411764705882353,679.4223826714801,0.908235294117647,715.5234657039712,0.18823529411764706,884.4765342960288,0.5647058823529412
454.15162454873644,0.4658823529411764,514.0794223826715,0.776470588235294,547.2924187725632,1,582.6714801444043,0.9176470588235295,620.9386281588447,0.3882352941176471,680.14440433213,0.7105882352941176,716.2454873646209,0.06352941176470583,885.1985559566788,0.3223529411764706
454.15162454873644,0.2447058823529411,516.9675090252707,0.05647058823529405,548.0144404332129,0.9223529411764706,582.6714801444043,0.7341176470588235,621.6606498194946,0.18823529411764706,680.14440433213,0.5129411764705882,717.6895306859205,0.016470588235294015,887.3646209386281,0.054117647058823604
454.87364620938627,0.09411764705882353,518.4115523465704,0.014117647058823568,548.0144404332129,0.7152941176470589,583.3935018050541,0.6376470588235295,624.5487364620938,0.0352941176470587,680.8664259927798,0.2752941176470588,721.2996389891697,0,888.0866425992779,0.009411764705882453
454.87364620938627,0.0352941176470587,521.2996389891697,0.0023529411764706687,549.4584837545126,0.5247058823529411,582.6714801444043,0.46823529411764697,625.2707581227437,0.0117647058823529,683.0324909747292,0.04470588235294115,1001.4440433212997,0,892.4187725631768,0
457.03971119133575,0,398.55595667870034,0,550.1805054151624,0.30117647058823527,584.115523465704,0.30823529411764705,628.158844765343,0,683.7545126353791,0.016470588235294015,,,1000.72202166065,0
468.5920577617328,0,1000.72202166065,0,550.1805054151624,0.21411764705882352,584.115523465704,0.17647058823529405,1000,-0.0023529411764706687,686.6425992779783,0,,,,
399.27797833935017,0.0023529411764706687,,,550.1805054151624,0.11529411764705888,584.115523465704,0.07294117647058829,397.8339350180505,0,1000.72202166065,0,,,,
1000.72202166065,0,,,551.6245487364621,0.0352941176470587,587.0036101083033,0.014117647058823568,,,,,,,,
,,,,553.0685920577617,0.009411764705882453,589.1696750902527,0.0023529411764706687,,,,,,,,
,,,,558.8447653429603,0.0023529411764706687,593.5018050541516,0,,,,,,,,
,,,,397.8339350180505,0,397.8339350180505,0.0023529411764706687,,,,,,,,
,,,,1001.4440433212997,0,1002.1660649819496,0,,,,,,,,
